"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1978/1979","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","13479.0","","","","1"
"1979/1980","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","13363.0","","","","1"
"1980/1981","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","13851.0","","","","1"
"1981/1982","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","15126.0","","","","1"
"1982/1983","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","17149.0","","","","1"
"1983/1984","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","16542.0","","","","1"
"1984/1985","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","16777.0","","","","1"
"1985/1986","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","16178.0","","","","1"
"1986/1987","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","15787.0","","","","1"
"1987/1988","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","16077.0","","","","1"
"1988/1989","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","16436.0","","","","1"
"1989/1990","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","17735.0","","","","1"
"1990/1991","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","17935.0","","","","1"
"1991/1992","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","18940.0","","","","1"
"1992/1993","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","19367.0","","","","1"
"1993/1994","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","19482.0","","","","1"
"1994/1995","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","19812.0","","","","1"
"1995/1996","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","19729.7","","","","1"
"1996/1997","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","19524.9","","","","1"
"1997/1998","Provinces and Territories","2021A000011124","Total actual-in count","Persons","249","units","0","v21536797","1.1","18955.6","","","","1"
